shRNA,count,pctg
Klf2.3,6197,0.040587392640222666
Klf2.4,2610,0.017094254444244176
Klf2.5,339,0.0022202882209190707
Klf2.6,24795,0.16239541722031964
Klf2.7,55790,0.3653978756491887
L3mbtl1.1,8801,0.05764234994781341
L3mbtl1.2,26932,0.17639174739171806
L3mbtl1.3,82884,0.5428506457305495
L3mbtl1.4,8460,0.05540896268134319
L3mbtl2.1,2126,0.013924285420867093
L3mbtl2.3,3407,0.022314224096375443
L3mbtl2.4,8037,0.05263851454727602
L3mbtl3.1,59813,0.39174660577531684
L3mbtl3.2,7819,0.05121071858220122
L3mbtl3.3,7013,0.04593180322508981
L3mbtl3.4,20306,0.1329946094807748
L3mbtl4.1,19676,0.12886841013216413
L3mbtl4.2,16538,0.1083160076624177
L3mbtl4.3,10794,0.07069554883952936
L3mbtl4.4,4500,0.029472852490076164
Mbd1.1,72643,0.47577698298591176
Mbd1.2,38945,0.25507116449467027
Mbd1.3,27052,0.17717769012478674
Mbd1.4,24725,0.16193695062602959
Mbd2.2,81629,0.534630994647206
Mbd2.3,38290,0.2507812270766703
Mbd2.4,22549,0.14768518906638387
Mbd3.1,11468,0.0751099271902652
Mbd3.2,36011,0.2358548646711406
Mbd3.3,7571,0.04958643693385925
Mbd3.4,7087,0.04641646791048217
Mbd4.1,40836,0.2674563120632778
Mbd4.2,6865,0.04496247385430508
Mbd4.3,35675,0.23365422501854827
Mbd4.4,8205,0.05373883437357221
Mecom.1,7316,0.04791630862608827
Mecom.2,18489,0.12109412659755961
Mecom.3,7448,0.048780845632463835
Mecom.4,8291,0.054302093332271435
Men1.1,50740,0.3323227856325477
Men1.3,18736,0.12271185872312601
Men1.4,21610,0.1415351871801213
Mll1.1,6899,0.04518515762867455
Mll1.2,156740,1.0265721998432307
Mll1.3,43784,0.2867643052056655
Mll1.4,5610,0.036742822770961615
Mll2.1,26242,0.17187257667657302
Mll2.2,70239,0.46003193023343547
Mll2.3,6936,0.04542748997137072
Mll2.4,25404,0.1663840765906433
Mll3.2,233199,1.527342161740727
Mll3.3,7118,0.04661950311652492
Mll3.4,10428,0.06829842350366983
Mll5.1,184819,1.2104762498585302
Mll5.2,95657,0.6265077001429368
Mll5.3,3856,0.025254959822607486
Mll5.4,34112,0.22341732092032848
Morf4l1.2,95499,0.6254728755443963
Morf4l1.3,4322,0.028307037436024262
Morf4l1.4,39485,0.2586079067934794
Ms4a1.2,10517,0.06888133103069578
Msl3.1,488,0.0031961671144793706
Msl3.2,1598,0.010466137395364825
Msl3.3,15397,0.10084300217548949
Msl3.4,3280,0.021482434703877736
Mta1.1,10813,0.07081998977226524
Mta1.2,23303,0.1526235292391655
Mta1.3,11061,0.0724442714206072
Mta1.4,40041,0.2622494414566977
Mta2.1,27951,0.18306571110002642
Mta2.2,62971,0.4124299987005747
Mta2.3,7469,0.04891838561075086
Mta2.4,5027,0.03292445099280286
Mta3.1,41474,0.27163490759409303
Mta3.2,3103,0.020323169172601407
Mta3.3,5179,0.03391997845468988
Mta3.4,5719,0.03745672075349902
Mtf2.1,28246,0.1849978203188203
Mtf2.2,912227,5.974651512992157
Mtf2.3,39415,0.2581494401991893
Mtf2.4,9530,0.062416952051205746
Myst1.1,4950,0.03242013773908378
Myst1.2,20106,0.1316847049256603
Myst1.3,36897,0.24165774185029784
Myst1.4,12954,0.0848425180347659
Myst2.1,5011,0.03281965862839371
Myst2.2,10287,0.06737494079231411
Myst2.3,10201,0.06681168183361488
Myst2.4,16038,0.10504124627463145
Myst3.1,9088,0.0595220629844027
Myst3.2,24280,0.15902241299089984
Myst3.3,15100,0.09889779391114446
Myst3.4,231,0.0015129397611572432
Myst4.1,13362,0.08751472332719949
Myst4.3,50692,0.33200840853932023
Myst4.4,39099,0.2560797910021084
Nap1l1.1,1960,0.012837064640122063
Nap1l1.2,11057,0.07241807332950492
Nap1l1.3,2952,0.019334191233489964
Nap1l1.4,43176,0.28278219535811744
Nap1l2.1,14915,0.09768613219766356
Nap1l2.2,8510,0.05573643882012181
Nap1l2.3,7696,0.05040512728080581
Nap1l2.4,7850,0.05141375378824398
Nap1l3.1,173323,1.1351829360305492
Nap1l3.2,30317,0.1985618819870309
Nap1l3.3,52688,0.34508125599936285
Nap1l3.4,8155,0.053411358234793586
Ncoa1.1,51672,0.3384269408593812
Ncoa1.2,36580,0.23958154313044136
Ncoa1.3,21936,0.14367033160495793
Ncoa1.4,49836,0.32640201704343014
Ncoa3.1,3096,0.0202773225131724
Ncoa3.2,17679,0.11578901314934589
Ncoa3.3,2589,0.016956714465957153
Ncoa3.4,29446,0.19285724764950726
