"dataSet","mean_pool1","mean_pool2","mean_pool3","sd_pool1","sd_pool2","sd_pool3"
"AmtGFP_CD103Percentage_100U_shRNA.csv","284.18138268925","323.778817169871","395.195754179798","403.551036837603","419.905625662856","461.881443280074"
"AmtGFP_CD103Percentage_10U_shRNA.csv","291.819540688","334.518262626744","405.196511548991","398.383495721403","413.136464459844","453.632658667845"
"AmtGFP_CD127GeoMean_100U_shRNA.csv","301.622543290052","354.418638301198","413.739564148798","392.432418397484","399.615581684965","447.2370529928"
"AmtGFP_CD127GeoMean_10U_shRNA.csv","319.497844493292","441.053241446911","443.61205394245","385.643982031935","383.973364590051","430.169370399971"
"AmtGFP_CD25GeoMean_100U_shRNA.csv","1951.18520556198","2597.49149575854","2613.48216527696","2930.89911675321","4153.6968395076","3839.68214072439"
"AmtGFP_CD25GeoMean_10U_shRNA.csv","431.755799172948","480.562382186566","555.231346544378","451.08954936266","429.826306858751","443.590424272053"
"AmtGFP_CD44GeoMean_100U_shRNA.csv","959.800069255781","1265.42111648818","935.632994361491","1137.007765387","1579.27980267866","900.926074055294"
"AmtGFP_CD44GeoMean_10U_shRNA.csv","503.033655534323","732.794371157658","628.116169485146","453.057381466911","678.135060370071","465.836354310745"
"AmtGFP_CD62LPercentage_100U_shRNA.csv","292.431342712844","331.565199826946","402.169484566654","397.986737222559","414.102942480334","456.082469633421"
"AmtGFP_CD62LPercentage_10U_shRNA.csv","292.045604043885","334.87738447494","404.495368154126","398.233899691687","412.879011079743","454.195538563674"
"AmtGFP_CXCR3GeoMean_100U_shRNA.csv","293.447280872766","325.981996306723","415.741422646166","407.528572874115","418.501001357844","446.81891090668"
"AmtGFP_CXCR3GeoMean_10U_shRNA.csv","402.200903178078","779.722126568034","603.270406894618","416.955300718909","940.408654588657","592.925794929035"
"AmtGFP_CXCR3Percentage_100U_shRNA.csv","285.031677370466","325.192912068273","397.938792620448","402.964737817545","418.82924400474","459.572429737397"
"AmtGFP_CXCR3Percentage_10U_shRNA.csv","294.858214733104","341.392612489577","408.51771812153","396.433844811735","408.378763869893","451.005416921383"
"AmtGFP_Lag3GeoMean_100U_shRNA.csv","1117.34100232339","1456.31756033984","1415.88630024991","1393.57150074891","1936.69021014624","1756.80119941345"
"AmtGFP_Lag3GeoMean_10U_shRNA.csv","659.558011056174","921.103242944506","805.112949358923","665.301924869016","982.190969281731","692.907064487888"
"AmtGFP_PD1GeoMean_100U_shRNA.csv","646.333998516378","891.406974284487","690.315551387912","638.953598779178","952.150424855145","593.744893266815"
"AmtGFP_PD1GeoMean_10U_shRNA.csv","1116.39323394286","1777.10911863011","1303.49345773434","1417.03617885734","2446.88126948355","1502.53130809658"
"AmtGFP_Tim3GeoMean_100U_shRNA.csv","609.575831980567","711.740045311117","966.583758428988","581.450478127822","663.39321492267","950.410698707322"
"AmtGFP_Tim3GeoMean_10U_shRNA.csv","319.42920314703","356.076197718485","449.909951787342","384.629284891436","399.662573581356","426.910679851494"
"AmtGFP_Tim3Percentage_100U_shRNA.csv","305.667275943723","345.470734285468","417.187222299514","389.953598022744","404.633597385623","444.422216838843"
"AmtGFP_Tim3Percentage_10U_shRNA.csv","294.014455812888","332.44343395111","407.271413063619","396.979983736799","413.642652503473","451.992797131254"
