gene_name,t1,t2
Pcgf6.1,-29.09381,40.16274
Prdm1.1,16.695799,66.221085
Phip.1,-27.842443,41.165867
Phf1.1,-30.633486,38.952908
Pcgf5.1,-15.283082,-43.314095
Polr2b.1,6.0279803,45.45027
Phip.2,-40.28163,1.596108
Pcmt1.1,-41.891106,3.0785148
Pcgf2.2,-41.08424,2.9541502
Polr2b.2,-59.342033,31.304546
Phf8.1,-3.5429976,37.97709
Phf20l1.2,-2.2758646,41.53188
Pcgf6.2,17.307446,68.49747
Ppargc1a.1,17.596712,46.02164
Phf20.2,17.3618,45.941135
Phf19.1,-28.08308,32.374172
Pcgf5.2,-42.71872,3.2452195
Ppargc1a.2,-38.3745,2.989941
Phf20.3,-6.8742547,45.492023
Phc1.1,-38.65262,2.4302263
Pcmt1.2,-9.006763,-7.0632567
Ppargc1a.3,-47.73602,-2.3477921
Phf8.2,-40.25046,3.4054916
Phf1.2,-2.6536503,42.557343
Pcgf2.3,23.433178,45.534004
Prdm1.2,1.4970717,35.95416
Phf19.2,-47.893852,-2.2024968
Phf2.2,-4.7745104,43.420322
Pcgf2.4,-51.631027,2.117375
Phip.3,-39.567184,-5.226963
Phf20l1.3,-41.11081,-5.5172215
Phc1.2,-7.609109,44.97034
Pcgf5.3,-40.279552,-5.357367
Polr2b.3,-4.5271916,37.44066
Phf8.3,-3.221001,38.034813
Phf1.3,6.0809183,40.31215
Pcgf6.3,-39.058277,-5.1118693
Prdm1.3,-60.318775,31.213095
Phf20l1.4,-4.834564,43.433064
Phc1.3,16.745766,66.30915
Pcmt1.3,16.128576,59.27401
Phip.4,17.075382,67.57442
Phf2.3,5.37808,44.70427
Phf19.3,5.8442683,42.114456
Pcmt1.4,0.36740047,50.50737
Polr2b.4,-58.26659,30.339542
Phf8.4,-0.3441407,26.51201
Phf19.4,23.529612,10.8119955
Pcgf5.4,-9.124441,-15.291851
Prdm1.4,-64.68507,16.015104
Ppargc1a.4,-29.864,39.27027
Phc1.4,6.499895,41.621807
Pcgf6.4,6.8201275,41.388577
Phf20.4,4.250442,7.4950013
Phf1.4,41.342422,50.919643
Phf2.4,7.735673,42.623253
Prdm10.1,-94.940834,18.283493
Prdm5.1,-80.28694,29.063725
Prdm6.1,-92.97879,23.947962
Prdm4.1,-93.92775,24.464226
Prdm12.1,-94.98957,23.424536
Prkcd.1,-97.802284,17.3997
Prdm9.1,-95.99064,19.009302
Prdm15.1,-79.22459,23.522543
Prdm11.1,-70.55456,-29.00883
Prkaa1.1,-97.231926,18.145681
Prdm9.2,-88.650536,32.31012
Prdm13.1,-87.35534,34.621548
Prdm10.2,-92.50215,32.964474
Prkaa1.2,-88.65705,35.48935
Prdm8.1,-92.559586,38.076675
Prdm6.2,-91.57917,33.65991
Prdm12.2,-88.56168,37.303043
Prkaa2.1,-92.43483,23.045444
Prdm5.2,-93.15372,38.38852
Prdm2.1,-91.22249,17.040073
Prdm11.2,-89.84215,17.473286
Prkaa2.2,-86.50266,30.340229
Prdm5.3,-81.14619,14.321357
Prdm14.1,-86.28951,33.51211
Prdm13.2,-90.624214,26.473076
Prkaa2.3,-88.01786,33.05688
Prdm8.2,-88.6726,38.09119
Prdm15.2,-79.20865,23.538136
Prdm10.3,-89.66283,17.360535
Prkcd.2,-93.383,26.018206
Prdm2.2,-96.19279,26.403912
Prdm4.2,-83.25904,36.42966
Prdm10.4,-86.4462,30.26609
Prdm9.3,-82.84407,38.30499
Prdm6.3,-82.356804,35.655262
Prdm14.2,-81.66437,35.13942
Prdm11.3,-87.48388,34.79572
Prkaa1.3,-90.620285,35.387314
Prdm8.3,-97.778786,19.301737
Prdm15.3,-86.88581,35.966328
Prdm12.3,-83.32784,25.225939
Prkcd.3,-86.468506,23.282583
Prdm6.4,-85.1956,23.977339
Prdm14.3,-82.63981,29.025232
Prdm13.3,-70.27756,-6.060401
Prdm9.4,-82.77972,38.593452
Prdm4.3,-80.873825,29.010216
Prdm2.3,-90.365425,34.49868
Prdm13.4,-80.82824,13.082793
Prkaa1.4,-94.58692,25.56344
Prdm8.4,-95.26892,25.996267
Prdm2.4,-83.55855,23.341759
Prdm11.4,-91.433205,25.17013
Prkcd.4,-81.257866,14.760095
Prkaa2.4,-84.43152,24.201159
Prdm14.4,-88.9458,19.355356
Prdm12.4,-87.63784,22.446852
Prdm5.4,-88.46963,21.485107
Prdm15.4,-83.29584,28.892897
Prdm4.4,-96.21801,18.773703
Prmt1.1,-22.76579,78.2463
Rbbp4.1,-19.728645,94.73356
Rbbp5.1,-23.455605,82.252365
Psip1.1,-10.356954,70.268265
Prmt3.1,-30.86773,85.347336
Rnf40.1,-18.759274,95.145966
Ring1.1,-21.05432,86.580986
Prmt7.1,-24.710535,83.5278
Prmt2.1,-25.97991,82.5718
Rnf20.1,-19.468615,94.86031
Ring1.2,-27.035603,65.661156
Prmt5.1,-24.852627,83.099
Prmt1.2,-8.140499,91.190544
Rnf20.2,-11.91039,83.967606
Rbbp7.1,-7.7930803,83.46039
Rbbp5.2,-30.889357,85.36466
Prmt3.2,-24.339563,89.77199
Rnf217.1,-21.334044,86.37948
Rbbp4.2,-7.6463413,87.93547
Prmt8.1,-14.828912,80.840706
Prmt2.2,-14.295013,88.027824
Rnf217.2,-17.842117,90.25383
Rbbp4.3,-8.949496,48.372475
Prmt6.1,-20.05309,87.36393
Prmt5.2,-13.007065,83.28347
Rnf217.3,-24.11794,86.78153
Rbbp7.2,-2.987646,86.16734
Prmt7.2,-8.235013,84.367096
Prmt1.3,-22.724207,78.190414
Rnf40.2,-12.150486,81.11778
Prmt8.2,-14.1184635,88.04897
Psip1.2,-16.018951,88.95279
Prmt1.4,-15.21217,88.24885
Ring1.3,-7.759808,90.33255
Rbbp5.3,-7.6730237,84.96309
Prmt6.2,-22.604918,85.97534
Prmt2.3,-9.682634,84.06927
Rnf20.3,-17.5305,89.731674
Rbbp7.3,-13.510604,80.33449
Prmt7.3,-26.49524,90.45602
Prmt3.3,-0.99552006,86.195984
Rnf40.3,-11.542426,79.44937
Rbbp5.4,-6.4162264,86.23199
Prmt6.3,-6.813248,87.84147
Prmt5.3,-13.898257,79.35568
Ring1.4,-5.839372,88.33006
Psip1.3,-5.6219964,86.05805
Prmt8.3,-24.501202,90.03887
Prmt5.4,-2.2185528,86.141815
Rnf20.4,-12.983817,80.74591
Rbbp7.4,-11.7984705,69.03281
Prmt8.4,-23.753426,91.000946
Prmt2.4,-45.600834,63.762184
Rpa3.1,-6.8642826,20.58982
Setdb1.1,-8.530029,92.13126
Setdb2.1,1.7356066,-14.83829
Setd8.1,8.228357,-28.114008
Scml4.1,-3.698181,-5.828324
Sin3b.1,1.4971608,-3.0372458
Sfmbt1.1,-2.8503473,-2.1444285
Setd4.1,2.9294257,-3.21119
Scml2.1,-3.593519,-0.5965478
Sfmbt2.1,7.9215283,-2.8735921
Sfmbt1.2,-16.571619,-33.124172
Setd1a.1,18.048607,27.182873
Rpa3.2,-6.195909,18.85332
Sfmbt2.2,32.79342,15.35232
Setmar.1,-36.262363,-52.766857
Setdb2.2,8.755617,-2.4856067
Scml4.2,-19.396154,-40.534508
Sin3a.1,8.062292,-3.8814034
Setdb1.2,-2.7282028,10.1283045
Setd5.1,-68.587,-6.717917
Scml2.2,37.476162,62.802483
Sin3a.2,-2.665569,1.3272285
Setdb1.3,-5.3038936,37.000877
Setd2.1,19.934162,29.17586
Setd1a.2,44.07963,41.406715
Sin3a.3,-3.001567,0.45179203
Setmar.2,-11.5105505,-34.41679
Setd4.2,-1.6581956,8.637017
Rpa3.3,38.842014,67.13132
Sin3b.2,4.6908646,-4.48268
Setd5.2,20.039726,-67.35203
Setd8.2,-18.592495,-17.949726
Rpa3.4,-6.445169,19.409365
Sfmbt1.3,30.23022,30.919346
Setdb2.3,-11.534232,-66.32916
Setd2.2,4.3679085,-48.99785
Scml2.3,-20.96621,-46.68929
Sfmbt2.3,-16.390486,-70.31971
Setmar.3,26.642168,27.444706
Setd4.3,7.883354,-32.02433
Scml4.3,1.2948581,-2.4628408
Sin3b.3,-16.359545,-7.065284
Setdb2.4,-13.195826,-35.135937
Setd2.3,7.003134,-1.9120084
