"Position","Pool","shRNA","Percentage","precentile","z"
"19_B06",3,"Wdr82.1",16.96035242,0.151888354929935,-2.96389014661195
"19_B07",3,"Eaf1.1",34.16833667,24.6781388701521,-0.684653216369361
"19_B08",3,"Cecr2.1",35.48009368,30.4707741052494,-0.510907995705494
"19_B09",3,"Zmynd11.1",33.00411523,20.0774776438483,-0.83885701284414
"19_B10",3,"Wdr5.1",37.91348601,42.5203320149502,-0.188599607707925
"19_B11",3,"Chd7.2",35.87636933,32.3325226972218,-0.458420378160406
"19_C02",3,"Cecr2.2",33.20911881,20.8480801202662,-0.811703819095259
"19_C03",3,"Whsc1.1",37.32360097,39.4838052412581,-0.266731232437046
"19_C04",3,"Wbp7.2",40.06116208,53.8186106623644,0.0958650071956059
"19_C05",3,"Chd7.3",41.14068441,59.4389133575163,0.238850212540475
"19_C06",3,"Brdt.3",46.19622246,81.8184442605565,0.908467807396572
"19_C07",3,"Brd7.3",47.65886288,86.4812173560661,1.10219788132603
"19_C08",3,"Wdr82.2",26.59786951,4.57652560754774,-1.68737893250086
"19_C09",3,"Clock.3",37.60574212,40.9294176407049,-0.229360990851596
"19_C10",3,"Arid1b.2",44.78164323,76.4577095916429,0.721103548170793
"19_C11",3,"Zmynd8.1",40.52841476,56.2674556131066,0.157753694943028
"19_D02",3,"Wdr5.2",36.23445826,34.0539684671564,-0.410990679149202
"19_D03",3,"Dpy30.1",43.36902801,70.3329034597846,0.533999426568243
"19_D04",3,"Arid1b.3",38.28394211,44.4514945233371,-0.139531848702181
"19_D05",3,"Whsc1l1.1",48.97959184,89.9222079686584,1.2771314573184
"19_D06",3,"Whsc1.2",51.92307692,95.2243075791575,1.66700279846367
"19_D07",3,"Dpy30.2",54.34782609,97.6603354053671,1.98816638012135
"19_D08",3,"Cbx2.1",39.10271009,48.7601213302433,-0.031084154294503
"19_D09",3,"Zmynd11.2",41.06257379,59.0372886191079,0.228504282002554
"19_D10",3,"Wbp7.3",41.94303551,63.4999218972264,0.345123453587913
