shRNA,nbPctg_Q4,nbPctg_Q3,nbPctg_Q2,nbPctg_Q1,nbPctg_input,inputMinusAvg_nbPctg
Nfatc3.7,41.718855351172905,31.91320847325833,33.38428040478009,5.387592201832225,65.35835649939456,37.257372391633666
Nfatc3.8,5.387592201832225,5.387592201832225,13.555050212887082,5.387592201832225,83.279653007557,75.85019630296107
Rpa3.1,23.06755702602071,20.933511296463454,20.386636721586893,18.618793004007898,60.75490353609203,40.00327902407229
Rpa3.2,42.53488664012073,38.91964951758675,61.19122420082953,13.916277302596372,60.82138754336902,21.680878128085673
Rpa3.3,60.669191117406285,60.98719911491083,50.961157733916494,54.88023613474028,90.74756053711765,33.87311451187418
Rpa3.4,78.1716901825529,59.813671303558294,62.839111611282505,35.06138968601042,85.54619633192827,26.57473063607725
Runx3,45.84596384647811,57.56185844409764,32.258787288609454,59.785453709054636,92.19164086101499,43.32862503895503
Runx3.2,5.387592201832225,5.387592201832225,5.387592201832225,5.387592201832225,79.83560086320216,74.44800866136994
Satb1.1,43.57676632733815,40.23004669736466,35.20372251316001,41.7714816162423,73.55471609828696,33.35921180976068
Satb1.2,71.5233995677093,72.41055017523661,73.31137655270878,73.26269064032518,67.42038864923728,-5.206615584757685
Satb1.3,86.60304416371113,88.06859098649934,78.97324117105343,89.9782056778598,68.01008671743324,-17.895683782347703
Scmh1.1,58.2277741366085,54.26933358462785,52.50912503104798,61.51289651425487,58.69603435658873,2.0662520399539304
Scmh1.2,76.9725838921746,78.36459517998115,85.95007118445905,81.21938621794814,65.72218796913492,-14.904471149505824
Scmh1.3,75.00201515969384,81.3588036346794,79.25212544167435,72.60703245447863,55.03085451825934,-22.024139654372213
Scml2.1,53.028868852716194,25.824423986758767,29.57595307879799,41.67783503395259,64.73498701683167,27.20821677877528
Scml2.2,50.91152750305624,57.83358099677207,53.92345481886427,60.34551538134095,41.77696524449516,-13.976554430513225
Scml2.3,64.97318471101671,25.22920895549752,49.50091848665082,53.57222473255118,30.075981631773434,-18.242902589655625
Scml2.4,78.28962328028723,78.42374094383189,72.46617232504742,78.81230603485211,77.32893592803342,0.3309752820287599
Scml4.1,73.69966066774221,61.13997846327758,65.57160193377061,57.699368429503984,71.98492119321067,7.457268819637079
Scml4.2,66.43120887858883,69.29386031575905,46.02145396140877,49.19712247261171,70.51182331724107,12.775911910148977
Scml4.3,45.137570746848496,49.653710763845524,31.92626170974528,51.39312712594406,67.31526062193909,22.78759303534325
Setd1a.1,5.387592201832225,5.387592201832225,5.387592201832225,5.387592201832225,5.387592201832225,0.0
Setd1a.2,80.19786897252321,80.21698311038338,76.87466009466526,74.45986546044455,94.38153880701898,16.44419439751489
Setd1a.3,65.18300574415933,55.659013363033495,67.394953367816,51.37248181397127,70.4229537800764,10.520590207831376
Setd1a.4,55.04439185198311,50.300829791628985,56.319978523498726,52.02267088615454,74.25358613272662,20.831618369410286
Setd2.1,73.17667272244458,60.92565910055314,60.13693733537392,57.51608616211428,84.71621330831529,21.777374478193813
Setd2.2,75.90847188149084,76.92402032824253,76.84234458105237,74.86144214491681,66.59068331181935,-9.54338642210628
Setd2.3,97.79674818525602,92.65990339091333,97.47591922108752,96.73593752838386,86.81774750003251,-9.349379581377676
Setd2.4,79.50621932508729,75.90255603997554,74.28701469612507,70.3373119090403,72.66027547073993,-2.348000021817114
Setd3.1,80.92360296831914,75.11128692439716,80.08076580480943,79.45720720718596,87.29241681162883,8.399201085450898
Setd3.2,24.266187264390965,45.21810819957317,31.8102545770262,48.9219249305926,34.93541550074095,-2.618703242154787
Setd3.3,86.37017826251045,75.26578138187764,74.64832563323391,80.32800723626686,66.97377907658849,-12.17929405188373
Setd4.1,5.387592201832225,5.387592201832225,5.387592201832225,5.387592201832225,5.387592201832225,0.0
Setd4.2,76.82855130930716,72.05119852797827,71.62698057274125,74.76800939985255,87.98246736410907,14.16378241163926
Setd4.3,46.81926748164411,52.319705136426364,42.567003073549294,58.71494627604809,71.8550671563813,21.749836664464333
Setd4.4,42.17983497587489,37.48594649085788,51.46147569723824,38.26893565031156,80.06983808986448,37.720789886293836
Setd5.1,5.387592201832225,5.387592201832225,5.387592201832225,5.387592201832225,5.387592201832225,0.0
Setd5.2,99.02836667449374,99.78900457783486,98.6943904677739,99.60459480903016,95.09930025516316,-4.179788877120004
Setd5.3,5.387592201832225,5.387592201832225,5.387592201832225,5.387592201832225,5.387592201832225,0.0
Setd5.4,98.95323047757174,99.6068719231173,99.4595673982834,99.55421755632638,96.82426771751769,-2.56920412130701
Setd7.1,83.63977621452325,79.37012781818476,80.97032188820819,82.57942199048291,86.37362399024315,4.733712012393369
Setd7.2,55.63414244465533,35.291958219540355,53.44757856635638,50.70958828355925,66.40657160767506,17.63575472914723
Setd8.1,36.68178888482625,20.267983589959275,24.57601298098166,39.72307411996326,26.10831976082287,-4.203895133109739
Setd8.2,45.747025145670236,57.2312213237391,62.72762383763843,54.97576924735673,58.22524874183295,3.0548388532318214
Setd8.3,61.78729430820072,63.462663398442864,76.95652747753398,79.02340872621384,81.4049161237826,11.097442646184746
Setd8.4,35.27557078286937,56.54519739444635,35.044590015662436,30.390966402611884,62.60383727782026,23.289756128922754
Setdb1.1,87.95425050713166,88.15261837303984,77.1763206350384,85.8521076787553,89.22841933013663,4.444595031645321
Setdb1.2,97.83873876327728,98.15531849999573,95.38141060427114,96.24100582492403,95.73876758488953,-1.1653508382275106
Setdb1.3,81.41548704803702,74.71136447751088,72.71118348260292,74.05855237479096,86.46362672254644,10.73947987681099
Setdb1.4,46.66748339703257,66.25570045355951,66.04949762502167,64.10065644858292,61.01916389750331,0.25082941645414536
Setdb2.1,40.785238525887955,25.533332666744883,40.74739200812768,20.954724098292463,52.428003428287326,20.42283160352408
Setdb2.2,65.43528611789073,65.90390726177347,76.59293122582865,79.98963936044797,71.91631467947511,-0.06412631201010299
Setdb2.3,51.85269332076845,54.90277539998944,64.6216416759882,73.98847573583728,52.580175934903764,-8.761220598242083
Setdb2.4,56.77005512908865,58.062237866360675,53.195325929626215,48.99773637674388,56.82045991709762,2.5641210916427752
Setmar.1,87.94172303179788,82.03507251010099,90.64998068737333,89.1872620394722,97.39762255706849,9.944112989882385
Setmar.2,96.15387446948075,92.97976616004347,93.9858064146323,89.83016641085142,99.74513972396952,6.507736360217535
Setmar.3,58.648948676664226,49.60593592556849,45.29522638784423,35.59077485721296,63.8236221339468,16.538400672124318
Setmar.4,82.82450401658771,80.66157774957763,87.7914843472722,86.22736673899867,92.8938659846112,8.51763277150215
Sfmbt1.1,84.40790215136789,78.86161987225417,85.72024889349208,84.67189313769272,93.06611426499637,9.65069825129467
Sfmbt1.2,29.24724691907148,22.06651957550789,20.97585661591814,5.387592201832225,59.91404338593114,40.4947395578487
Sfmbt1.3,83.84972112902953,88.13320970488485,82.62417656603199,82.50116003948834,89.17092315074359,4.893856290884912
Sfmbt1.4,76.00912390815435,73.83720231811847,71.91236343522732,77.14055658300639,72.56937210506497,-2.155439456061657
Sfmbt2.1,5.387592201832225,5.387592201832225,5.387592201832225,5.387592201832225,5.387592201832225,0.0
Sfmbt2.2,76.72035428823119,77.09178079724214,58.98723360682022,49.49036833841832,84.77686574691539,19.20443148923742
Sfmbt2.3,34.03740190456192,29.711084965341456,68.98182131838327,73.60274714823915,93.90386632485149,42.32060249072005
Sgk1.1,5.387592201832225,13.916277302596372,5.387592201832225,5.387592201832225,5.387592201832225,-2.1321712751910376
Sin3a.1,34.63033783943453,13.916277302596372,54.147659929988635,43.046318538623254,79.53642953697016,43.10128113430946
Sin3a.2,87.25870403398456,85.39202352373394,84.54128000484171,76.80238920521313,74.17908442688234,-9.319514765060987
Sin3a.3,40.785238525887955,55.340136107916194,43.58542125867195,31.68368474966663,84.4814379204065,41.63281775987082
Sin3a.4,42.31413558866516,29.18651752723894,58.63914471508777,40.380074777490954,61.27842876785413,18.648460615733427
Sin3b.1,42.96363049568024,24.910652433011666,30.704190466995897,48.84607654817761,62.3231108714656,25.46697338549925
Sin3b.2,55.93435966405291,49.07099095681303,49.75269673177334,57.55567586092578,77.92404709286681,24.845616289475544
Sin3b.3,42.79425267607614,51.42211477946203,52.30602314840665,45.43549199170208,82.77638782261265,34.78691717370093
Sin3b.4,50.05944810802503,34.65429134266709,28.434539253202047,32.07494634145286,59.40100818521381,23.095201923877056
