,,Experiment: 10U p1,Analysis: Analysis 2,User: Admin,Plate: 6,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/20/2015,Export Time: 9:33:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of untransduced,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,CD62L+ as % of untransduced,GeoMean PE-Cy7-A - CXCR3 of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of GFP+,GeoMean PE-Cy7-A - CXCR3 of untransduced,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,CXCR3+ as % of untransduced,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,CD103+ as % of untransduced,GeoMean PE-A - CD127 of Amet+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of untransduced
D04,Hcfc1.3,D04,Sample,9024,1006,1080,1927,1871.32434,1420.888925,1088.78463,130.3554406,429.1472665,396.9645094,75.98238567,29.42345924,30,29.83912818,23.34106729,4275.226859,287.1105877,438.2977178,4372.351327,92.24652087,36.85185185,40.32174364,90.97447796,62.52485089,39.53703704,28.48988064,45.15081206,691.1566497,140.9373524,102.0606082,521.7198929
D05,Gtf2b.1,D05,Sample,9760,1608,2142,1223,1344.741921,697.4077176,855.9281559,62.06532243,435.2232827,209.1755548,48.84370904,25.55970149,31.32586368,27.88225675,25.80734967,4728.421826,338.5020867,344.8238266,3829.659702,92.97263682,41.31652661,40.55600981,89.05902004,45.39800995,29.178338,31.316435,52.00445434,649.0128856,110.6237981,105.1930829,706.1654066
D06,Gadd45b.2,D06,Sample,8860,1233,1478,1395,1257.704339,834.000834,949.3597077,72.98017607,450.4675824,307.9934002,66.82120788,25.06082725,25.50744249,26.59498208,23.1884058,5549.431018,360.0459612,392.7483622,3840.866471,95.21492295,41.13667118,40.07168459,89.13043478,60.4217356,33.55886333,28.2437276,49.55022489,511.6066855,88.57681419,108.3578307,564.9594386
D07,Hdac4.3,D07,Sample,13338,316,555,3999,1465.561914,900.0528927,942.2273182,89.33879892,515.2631111,278.4055669,51.10762587,24.36708861,34.05405405,31.05776444,26.88869666,4024.754898,241.8062289,329.3707367,4291.982923,90.50632911,35.31531532,39.50987747,91.14763552,55.06329114,28.10810811,27.60690173,47.3615917,606.8163582,115.889295,116.9317972,722.0962229
D08,Hdac10.2,D08,Sample,11207,1077,1499,2157,1646.48247,1101.103213,952.1516324,112.1308538,558.0821585,258.0839011,52.95985485,36.30454968,40.96064043,33.05516922,26.70432411,4581.261,331.4250882,369.6314723,3950.837438,93.68616527,40.22681788,42.37366713,90.10518115,50.78922934,32.15476985,28.60454335,47.89637709,674.6367687,116.1948612,112.6457398,688.5234303
D09,Gtf2f1.2,D09,Sample,10056,1149,1528,1757,1503.691851,1173.817451,956.8811272,75.17407356,542.2312812,316.1555948,64.24307536,32.81114012,38.15445026,29.48207171,26.86669721,5208.92531,430.284202,350.9988216,4641.405704,94.69103568,45.68062827,40.40978941,90.7924874,45.5178416,30.95549738,26.23790552,49.35868071,935.2198075,160.8630576,108.8517488,748.534419
D10,Fbxw9.3,D10,Sample,10352,522,742,2455,1802.5542,1539.902073,1025.174662,133.7402904,918.4345325,431.7145926,66.18444702,30.26819923,33.42318059,29.08350305,23.35661831,4595.723401,309.4780965,337.0564332,4542.507441,93.48659004,42.3180593,40.32586558,90.88303779,40.22988506,23.58490566,24.9287169,44.1877127,818.0137657,146.6004879,111.6223812,737.1398105
D11,Hdac6.2,D11,Sample,10607,926,1198,1889,1840.938727,1314.321058,1034.955466,100.8148755,885.9756509,620.1399078,75.47088548,19.87041037,25.37562604,26.36315511,22.18518519,5771.309935,412.2841601,292.5641193,4360.665615,94.60043197,43.48914858,36.68607729,90.18518519,45.78833693,26.21035058,22.44573849,43.66666667,768.5216289,123.4563566,100.2345184,668.3239178
E02,Gtf3c4.2,E02,Sample,9186,1777,2056,951,1775.636612,1169.644713,912.6323515,77.46330062,420.6173903,223.4033046,53.81671412,27.01181767,32.92801556,31.54574132,25.85351619,4559.305847,476.4166669,410.780816,3359.428315,92.62802476,44.40661479,39.53732913,86.11030055,40.2363534,27.48054475,27.02418507,37.61307266,617.2135111,127.3780764,105.2867707,533.2212667
E03,Hat1.2,E03,Sample,7781,1156,1172,1150,1401.204848,1112.491594,961.6533027,50.22401229,310.518865,234.0133913,66.50722589,31.57439446,32.59385666,33.56521739,25.42609668,5320.939133,589.4611505,421.4653886,3596.313436,96.10726644,48.80546075,42.95652174,86.72813635,58.30449827,40.27303754,33.2173913,44.50963956,728.4899028,133.3313863,108.3479813,517.379131
