Well,shRNA,GeoMean Alexa 700-A of Amet+GFP+_CD44,GeoMean PerCP-Cy5-5-A of Amet+GFP+_CD25,Amet+GFP+CD62L as % of Amet+GFP+,GeoMean PE-Cy7-A of Amet+GFP+_CXCR3_CD127,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+GFP+CD103+ as % of Amet+GFP+,GeoMean PE-A of Amet+GFP+_CD127
G02,Smarce1.1,397.8891042,392.0848524,36.09022556,210.8695462,34.76337904,29.19062362,83.0380894
G03,Smarce1.2,419.2744973,659.4977854,29.60638905,108.6737847,22.81802624,24.92869367,187.0343159
G04,Smarce1.3,338.6921028,669.3228571,34.87261146,118.2633814,23.12898089,19.54617834,214.8839019
G05,Smarce1.4,455.7245327,333.4180792,40.61096137,301.7994316,37.55615454,32.0754717,139.3039193
G06,Wdr82.1,475.0084589,280.8764912,25.17321016,168.624149,25.71208622,31.1778291,85.29812553
G07,Wdr82.2,433.2090871,238.1702439,18.94736842,153.0361828,21.92982456,26.78362573,75.5176878
G08,Wdr82.3,643.0310911,264.5977916,24.16514876,201.1112409,32.96903461,29.87249545,94.10977929
G09,Wdr82.4,442.7632275,296.2527298,22.4893918,141.1853986,23.40876945,22.91371994,81.14981486
G10,empty,992.8659713,1294.486355,52.17391304,357.1197429,43.47826087,47.82608696,288.863482
G11,empty,1699.651602,1239.509629,60,1562.899865,80,40,1592.965078
