Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+GFP+
F09,Smarca1.3,9554.114938,2148.21513,27.38738739,15.67567568,8.170683147,85.20098462
F10,Sirt5.4,9966.792051,1357.354586,24.58100559,12.05107741,8.153541052,59.4613522
F11,Smarce1.4,7004.634345,1655.3633,28.63411958,12.06801975,11.42165232,88.95313161
G02,Smarcd1.4,9462.261547,1403.761219,28.58942065,9.634760705,7.338658166,43.89137243
G03,Smarca1.4,10950.17292,1508.491298,28.04532578,9.702549575,8.835373034,53.60193802
G04,Sirt3.4,8169.049266,1727.904173,25.71628232,9.154437456,10.36469062,87.90792686
G05,Smyd3.4,8462.025116,1815.18799,28.64949258,11.00702576,10.31089934,66.28122121
G06,Smyd2.4,11033.88481,1991.935091,32.13166144,10.5015674,7.968968659,45.51341322
G07,Sirt6.4,11249.39185,2549.637267,29.78547855,9.075907591,8.378015512,90.22834304
G08,Sirt4.4,9744.988388,1496.737061,26.09075044,11.43106457,9.208999491,81.30948098
G09,Smarca5.4,12977.57799,2608.1554,36.32183908,27.12643678,12.79112583,61.82414449
G10,Sirt7.4,9998.68975,2063.055254,26.16426757,9.737510584,8.698704176,81.63121675
G11,Smarca4.4,6597.139233,1851.917363,22.06159648,9.930861094,10.54785503,72.77362901
