,,Experiment: 100U p1,Analysis: Analysis 1,User: Admin,Plate: control 100 p1,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:42:25 AM,,,,,,,,,,,,,,,,,,,,,
B11,shCd4.1,B11,Sample,4383,669,2905,12305,3783.954126,4107.139985,4203.648062,3452.875931,3650.311244,3563.792363,2907.849903,3297.540615,22.92950034,21.03270224,19.13303438,25.04804612,28.79306411,367.5824176,35.42168675,27.20478326,1.619895049,8.483479897,11.40625165,12.8108624,25.03058823,35.64976867,45.02162265
C02,mll2.1,C02,Sample,480,1745,841,6339,8931.255292,10852.28371,7529.957621,3932.039003,1852.235016,2633.764603,3384.169245,3824.538926,15.20833333,13.07966706,10.31518625,8.759430008,5.208333333,368.9217759,12.60404281,27.10601719,3.333333333,5.853492833,10.56460712,42.96414844,39.96087305,50.0031674,48.90406321
C03,mll2.2,C03,Sample,736,2024,1001,8422,8252.702925,13716.45275,8076.851837,3982.096808,1961.241636,3052.254818,5030.885596,4038.806548,31.79347826,23.77622378,20.84980237,19.85773563,1.494565217,722.8571429,6.993006993,13.83399209,0.679347826,5.300155092,6.286417444,14.39888955,41.66281467,56.87698048,68.88518022
C04,mll2.3,C04,Sample,1174,1808,952,9521,8621.953381,8845.014929,4373.770164,3644.10149,2116.825725,2229.229078,3932.746646,3914.532477,31.09028961,27.31092437,16.20575221,21.48403796,2.640545145,278.1538462,11.2394958,35.95132743,0.596252129,5.201354392,8.362687428,18.73814621,41.24821078,66.90456929,53.30903868
C05,mll2.4,C05,Sample,2404,2098,1214,13839,10285.34335,13552.03981,6111.52826,3980.443358,2050.069044,2853.85515,5605.408606,4139.986309,32.32113145,27.59472817,18.58913251,21.00958827,3.244592346,806.9230769,6.507413509,12.392755,0.37437604,4.12556307,4.743194558,13.32260314,38.71288443,58.71977944,71.35024333
C06,Brd8.1,C06,Sample,1487,1456,702,11600,8518.181582,7188.362878,2874.31299,3798.231368,2690.08524,2727.384473,4727.017455,4484.835801,33.15400134,33.33333333,20.81043956,22.3996724,5.783456624,193.6170213,13.81766382,51.64835165,0.336247478,6.106158349,9.63797671,30.30008598,35.85015182,59.04281225,58.60768271
C07,Brd8.2,C07,Sample,1445,2760,1363,12986,9325.929676,10775.43326,3771.764869,3544.232498,2371.087927,1873.846198,4029.026414,4343.655816,34.87889273,30.96111519,19.02173913,22.58850276,2.975778547,522.7272727,8.14380044,19.13043478,0.484429066,4.913015548,6.948445776,19.67848658,37.55477593,79.39221875,57.0222549
C08,Brd8.3,C08,Sample,987,3231,1285,10335,12757.99656,5876.841241,1906.060317,4946.100445,2128.316818,2673.834444,4357.045124,4801.341074,36.47416413,27.47081712,16.5273909,24.22692963,3.1408308,353.5010941,13.92996109,28.28845559,0.607902736,3.453006314,9.218822421,21.25107869,42.99031524,69.10921291,48.78501572
C09,Brd8.4,C09,Sample,851,4383,1733,12349,10008.26319,8038.321152,2355.808454,3915.113477,1948.285012,1112.430109,3226.10623,4275.225582,29.96474736,21.8118869,12.82226785,23.38120433,2.350176263,378.8245462,8.770917484,26.39744467,0.235017626,3.955480063,6.888070019,18.49668972,31.50132037,46.88737865,44.01736316
C10,shCd4.2,C10,Sample,570,2364,1055,8710,9296.544124,7951.843773,3652.586563,3533.65174,1933.42361,997.1503439,2607.929664,4069.842478,32.63157895,27.77251185,20.85448393,21.10552764,2.98245614,259.7802198,12.98578199,38.49407783,0.877192982,5.170329755,10.2043949,23.79595432,31.17291932,53.7760861,49.39069871
C11,shCd4.2,C11,Sample,2301,733,2172,8215,3637.617441,3830.47283,4156.253808,3619.451699,3896.867179,2788.132347,2527.990173,3640.157147,23.20730117,24.86187845,19.23601637,26.57049791,32.15993047,227.6397516,47.00736648,43.92905866,1.825293351,10.95821371,17.15060381,20.77537809,27.9344701,38.92352378,47.20708196
D02,Ncor1.1,D02,Sample,1154,1303,791,9376,10788.86177,11551.17662,5675.284215,4220.870071,2056.504785,2297.571256,4367.105207,4574.321064,33.18890815,36.40960809,32.31005372,24.30255403,3.812824957,364.9859944,11.50442478,27.39831159,0.433275563,4.52160629,6.788441524,12.60469799,46.06529361,75.91003009,60.47157896
D03,Ncor1.2,D03,Sample,2796,7,10,11954,10681.97666,1120.206308,358.0425368,4158.014795,2137.107513,3159.424926,2907.482661,4484.567387,33.19027182,50,42.85714286,21.74981568,6.974248927,NaN,10,0,0.894134478,6.087379556,32.93793591,127.2097653,63.09573779,163.8162322,56.34205943
D04,Ncor1.3,D04,Sample,1136,1325,780,7698,10936.84928,13091.13498,6472.966115,4365.729946,2163.426852,2448.495832,4279.267993,4267.066272,36.3556338,43.71794872,32.22641509,26.19647355,2.904929577,329.60199,12.43589744,30.33962264,0.176056338,3.535045477,5.117307804,12.73484453,46.87732771,80.30713207,53.75058346
D05,Ncor1.4,D05,Sample,745,1619,802,7301,10224.96038,9313.53765,3123.258706,4127.363937,1987.488077,1858.208844,3694.293884,4153.260348,36.77852349,35.16209476,26.62137122,25.24188958,3.89261745,213.3069829,14.4638404,46.88079061,0.268456376,4.301849847,6.394424693,15.37991768,42.11015377,43.09683359,39.16552538
D06,Cxxcl.1,D06,Sample,1422,2003,1631,11041,11636.43118,6454.725936,3037.595025,4618.984405,1824.233418,1039.943687,2027.719304,4393.425424,34.59915612,27.345187,19.0214678,26.31230701,4.360056259,298.509687,11.83323115,33.49975037,0.281293952,3.84452831,11.34307941,24.44094021,51.61174717,83.67369116,62.42079349
D07,Cxxcl.2,D07,Sample,1456,3270,2213,12601,11761.80502,2532.161582,1621.87207,4627.893164,2055.769719,1889.207261,2746.343426,4451.770678,38.18681319,31.45051966,24.28134557,28.59510982,4.807692308,190.5594406,17.53276096,52.47706422,0.480769231,4.076746502,13.69143535,36.03009671,50.99249209,55.14957697,56.01796868
D08,Cxxcl.3,D08,Sample,601,2285,1334,8118,11168.74589,6963.822658,3357.943756,4030.378436,1942.064059,1199.795546,2294.780546,4236.291279,35.44093178,32.08395802,21.13785558,26.42540116,3.327787022,306.7114094,13.71814093,32.60393873,0.332778702,4.386262069,11.18552004,20.34203082,43.22820137,81.93407329,63.74844975
D09,Cxxcl.4,D09,Sample,729,2382,1505,8587,11440.28786,3858.17038,3810.612348,4534.85535,1860.583883,981.1225413,1324.138738,4561.033065,38.82030178,26.51162791,20.90680101,27.20181995,4.526748971,197.3487987,15.14950166,50.67170445,0.274348422,3.715575476,14.65723388,33.09996604,47.07263451,51.22722798,52.9146316
D10,shCd4.3,D10,Sample,563,2448,1120,8402,9878.843468,8684.903795,4261.860419,3693.338868,1616.693991,2320.071944,4121.729498,4307.175317,34.10301954,26.25,19.28104575,25.86520947,3.730017762,303.7220844,11.33928571,32.9248366,0.53285968,4.712838058,7.247348426,18.09434222,45.67187496,65.07399053,60.2024378
D11,shCd4.3,D11,Sample,2055,1017,2832,9099,3515.903155,3992.275815,3807.359392,3182.945377,3878.431789,3658.332928,3362.342982,3568.352287,26.61800487,17.86723164,18.5840708,28.32847425,27.54257908,279.3956044,39.6539548,35.79154376,1.362530414,9.810745298,12.66177628,15.51103373,26.86744821,45.1675465,47.47097723
E02,Smarca4.1,E02,Sample,1080,1610,1245,9370,11932.4279,2878.665781,2577.493359,5066.820826,1567.486188,2214.092801,2533.570233,4520.209274,35.27777778,22.00803213,12.91925466,28.31060781,3.333333333,182.3329558,15.90361446,54.8447205,0.277777778,3.8415302,12.52404947,17.10537274,42.02764221,88.16243092,100.6554656
E03,Smarca4.2,E03,Sample,1622,917,1246,9347,11093.58074,4015.276247,2415.206636,4293.8933,1904.009712,2122.302568,1804.878559,4110.339807,34.83353884,21.50882825,10.35986914,22.58930415,3.699136868,147.9032258,16.29213483,67.61177754,0.739827374,4.294052981,9.090010979,16.35172778,47.95911658,110.6234319,112.0156223
E04,Smarca4.3,E04,Sample,700,2220,1950,9271,10679.70799,4041.997869,2538.231462,4347.206215,2151.836307,2184.446951,3238.584683,4202.007428,37.28571429,24.25641026,16.44144144,29.74208293,5,222.668004,10.51282051,44.90990991,0.142857143,4.424013347,10.04727616,18.74359802,49.21623919,81.33106947,82.08627926
E05,Smarca4.4,E05,Sample,1325,2475,1733,10828,11680.27776,6723.566643,3212.734925,4704.902367,2068.298716,2416.635803,3835.942661,4406.701356,36.90566038,27.46682054,16.08080808,28.58874879,3.547169811,323.1070496,8.597807271,30.94949495,0.679245283,4.143529226,7.650947312,16.26498768,54.28186534,99.22975682,89.73195334
E06,Klf2.1,E06,Sample,613,1844,791,6362,9598.826428,10616.16101,4379.763899,3881.17351,2499.897569,2030.656077,4160.26978,4642.201606,39.31484502,29.83565107,21.25813449,30.73432343,2.936378467,357.3643411,8.849557522,27.98264642,0,4.025217668,5.811587924,16.39279385,53.99441747,73.64024769,61.50444046
E07,Klf2.2,E07,Sample,1366,1731,1175,9019,11160.1741,9373.261265,4072.585212,4237.887403,2073.088987,2256.11696,4222.983899,4359.602528,34.62664714,25.27659574,19.98844598,29.76220915,3.879941435,330.3435115,11.40425532,30.27151935,0.732064422,3.928432298,6.950087711,15.58958056,56.55543551,88.69482519,69.19903962
E08,Klf2.3,E08,Sample,1108,1626,873,8016,10322.28225,11015.96456,3976.352797,3866.689792,2266.57809,2487.859025,4465.597799,4521.664957,37.00361011,33.44788087,23.80073801,30.00577034,5.054151625,321.3438735,16.03665521,31.11931119,0.270758123,4.39867877,6.730194655,17.41315314,54.16113384,78.44568565,62.25321404
E09,Klf2.4,E09,Sample,670,1849,1013,6793,8991.24534,7953.183114,3483.235355,3250.800399,1964.467742,1870.144336,3641.799602,3687.117335,36.41791045,31.88548865,20.11898323,30.36144578,3.432835821,332.5539568,9.279368213,30.07030827,0.447761194,4.834593322,7.918329918,18.6803945,55.81713663,89.32396289,61.81112194
E10,shCd4.4,E10,Sample,1203,1489,937,8271,9443.774098,11964.80667,6147.883665,3514.111601,1977.053049,1469.822217,3399.908744,4207.603955,34.9127182,24.75987193,16.72263264,26.67006629,4.156275977,269.2585895,14.72785486,37.13901948,0.831255195,5.093213763,6.094622242,15.92292576,55.26460888,71.73884923,66.38495575
E11,shCd4.4,E11,Sample,3268,513,1935,9158,3510.609898,6180.281783,5574.242651,3350.075159,3898.206806,3260.164337,2593.136854,3537.701151,26.86658507,20.51679587,17.9337232,29.0567546,35.74051408,278.8043478,46.09819121,35.86744639,2.23378213,12.13369971,13.29329172,17.23095974,32.60343778,49.55915666,46.13668042
F02,Runx3.1,F02,Sample,566,1008,1104,6209,9422.049735,6373.948867,3378.146942,4227.513543,2224.463626,1391.769547,3267.484844,4345.503332,36.92579505,26.99275362,22.61904762,30.08442057,5.123674912,119.4312796,14.58333333,83.73015873,0.35335689,4.479567792,7.773191113,16.29554944,56.44883367,46.24203105,53.53820477
F03,Runx3.2,F03,Sample,1029,1247,1033,7997,8495.869937,5208.054807,3971.812383,3812.189356,2099.361532,4365.201164,4218.693363,3814.866661,38.19241983,22.84607938,25.74178027,29.54354523,8.649173955,126.7276423,42.59438529,78.90938252,0.19436346,4.776905319,17.15458602,18.01298861,61.58583403,104.0411296,89.42454473
F04,Runx3.3,F04,Sample,1116,1514,1054,9112,7653.717003,3867.727926,3220.80291,3406.326184,2047.978743,3918.931578,3726.777471,3728.687218,40.41218638,25.71157495,32.89299868,32.6439483,8.154121864,113.4932534,49.33586338,88.11096433,0.17921147,6.615737436,19.05736711,20.41368232,50.82649329,74.85745268,83.89541736
F05,empty,F05,Sample,4274,18,7,17070,10419.89508,9455.909572,892.1599007,4309.246588,2237.845815,5452.430438,2997.671435,4310.235081,33.27094057,85.71428571,88.88888889,25.54065381,7.112774918,200,42.85714286,50,0.748713149,4.591472693,18.29420265,115.5436,54.80873391,95.76912849,119.5416348
F06,Sp140.1,F06,Sample,766,2027,1170,8505,9899.09059,8244.581825,3857.748955,3813.072757,2123.692525,1970.521515,3933.489311,3935.841274,34.33420366,26.92307692,22.84163789,27.99634035,4.699738903,272.4462366,13.5042735,36.70448939,0.783289817,4.518505423,9.507760534,17.32704875,58.16570285,94.65353995,65.6370045
F07,Sp140.2,F07,Sample,1625,2126,1223,11496,9781.641492,10422.39958,4309.070069,4335.434694,2342.948968,2778.381989,4293.250396,4350.318417,37.6,35.15944399,25.16462841,29.3217457,4.061538462,332.1875,12.42845462,30.10348071,0.430769231,4.880542577,7.355862281,20.97240706,49.86363011,93.74254304,65.75260272
F08,Sp140.3,F08,Sample,590,2182,887,7707,9788.858017,9406.451729,4480.48094,3875.676427,2127.500037,1719.023382,3488.951241,4227.452606,40.16949153,33.25817362,24.15215399,29.57600827,4.406779661,250.5166475,12.06313416,39.91750687,0.677966102,4.632556118,7.839426454,17.22243652,54.36137229,60.21036709,52.35158157
F09,Sp140.4,F09,Sample,1384,2375,1769,11278,11259.78032,6314.178939,2115.466493,3754.601403,1988.729573,2189.253957,4160.78479,4212.013283,34.24855491,28.09496891,19.83157895,29.08232119,5.130057803,295.39801,13.45392877,33.85263158,0.144508671,4.160892172,10.18102531,24.89210416,48.47683661,79.76613548,60.36528663
F10,empty,F10,Sample,4233,9,6,15787,11345.91747,1594.661839,3243.885328,4354.59594,2023.36673,769.8505706,3831.093908,4101.951636,32.88447909,50,55.55555556,23.14272431,9.000708717,300,16.66666667,33.33333333,0.755965037,4.679744764,64.67878734,26.28749314,57.79193341,30.09276046,46.3282804
F11,empty,F11,Sample,9456,2,8,16461,3909.06636,12542.70977,5731.350438,3584.743457,3699.520845,3928.507945,4932.761227,3391.168052,21.65820643,25,50,23.86190557,31.63071066,NaN,50,0,2.654399323,12.39701259,35.30242258,6.904004867,32.85571596,119.6031145,2.32620992
G02,Smarce1.1,G02,Sample,3649,4,15,13869,10829.42633,4958.336427,783.5685523,4318.836551,1866.487654,2152.674664,1337.721357,4022.087426,31.95395999,33.33333333,0,23.03147492,6.604549192,100,26.66666667,100,1.123595506,5.802608671,25.69324028,32.85194185,62.59056058,81.36748939,26.35352213
G03,Smarce1.2,G03,Sample,993,1599,1188,8896,9490.30594,5697.181175,3564.58686,3756.051249,2066.404874,1853.677944,2571.027492,4040.444055,36.55589124,26.17845118,18.6366479,29.6469488,3.927492447,215.4986523,12.20538721,46.4040025,0.402819738,5.769953979,13.21908403,25.87929759,65.96098073,209.3077762,187.733258
G04,Smarce1.3,G04,Sample,1124,1651,1565,9945,10823.93105,6327.118795,4432.806004,4382.638277,1991.145413,1525.229022,2498.178179,4275.818009,35.76512456,28.37060703,21.38098122,28.84707003,3.46975089,205.0931677,13.22683706,48.75832829,0.266903915,4.655640757,11.34345186,23.61081208,64.25962673,207.4852613,185.1630969
G05,Smarce1.4,G05,Sample,1635,1760,1607,11038,11392.49647,7269.847173,3154.89489,4218.852457,2076.340933,2154.258883,3616.134581,4390.348068,36.26911315,32.9807094,16.81818182,28.13336077,3.058103976,208.0378251,11.94772869,48.06818182,0.550458716,4.979341719,10.22332378,21.46569628,71.42442049,131.2567981,142.5847817
G06,Wdr82.1,G06,Sample,1117,2020,969,8976,8983.369675,3239.87378,2180.217372,3802.863474,2242.94162,1066.282592,1419.981457,4485.51898,40.19695613,22.70381837,8.316831683,26.04446616,3.849597135,534.3915344,7.73993808,18.71287129,0.805729633,5.537755563,10.87476425,35.21699737,43.54284402,60.08471856,59.65571126
G07,Wdr82.2,G07,Sample,877,2244,962,9359,9131.41652,3486.413334,2224.833167,3909.976395,2365.25939,973.2032883,1499.5356,4733.750902,38.65450399,19.23076923,9.001782531,28.72266974,4.446978335,492.1052632,12.16216216,20.32085561,0.456100342,5.227845523,13.94992061,36.13789225,38.74105369,66.06119514,57.65237284
G08,Wdr82.3,G08,Sample,1312,2264,909,10764,9895.052026,6821.034494,2085.42414,3781.666091,2113.591399,1964.372313,2424.588536,4638.524339,34.45121951,26.62266227,13.95759717,27.94117647,3.887195122,643.1818182,13.09130913,15.54770318,0.609756098,4.695014605,10.04957068,26.7385743,46.74639119,73.16149627,57.10314353
G09,Wdr82.4,G09,Sample,1505,854,569,10492,8314.374297,2257.490743,2060.831474,3433.99782,2107.611276,1314.369439,1607.997838,4350.569996,32.6910299,27.06502636,9.953161593,27.80228137,5.382059801,642.1052632,8.611599297,15.57377049,0.332225914,6.590555982,11.67270884,33.86546936,38.28358179,41.89724951,54.19331778
G10,empty,G10,Sample,17,3,4,12732,4878.32717,839.0781371,974.6885451,5817.811161,886.3668426,2108.802588,2776.873444,4140.404576,29.41176471,75,100,21.48931098,11.76470588,NaN,0,0,11.76470588,12.15057374,45.95784063,94.2891424,34.29346727,11.64067089,92.40393979
G11,empty,G11,Sample,27,1,1,16542,821.3031012,3173.566895,1687.309814,62.0752822,265.4017853,4013.947021,4291.013672,8.582766897,29.62962963,100,100,0.239322533,0,NaN,0,0,77.77777778,552.0399315,170.1921844,130.9159393,112.1939928,14.54822922,3.69536972
