Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+,Amet+CD62L+ as % of Amet+,Amet+ as % of Amet+CXCR3+,Amet+CXCR3+ as % of Amet+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of Amet+
D04,Suv39h2.3,3071.926331,4063.065813,19.15178571,260.1626016,38.4375,26.42954067,64.68939565
D05,Sp140.1,3712.003331,4093.195115,21.78868917,326.323319,30.64445419,17.83944008,69.18558863
D06,Sp110.2,4027.662656,4134.303612,21.78571429,412.979351,24.21428571,18.82039801,58.06509916
D07,Taf3.3,3358.409243,2236.426189,22.48416608,361.1181703,27.69176636,18.3895569,47.61480558
D08,Suv420h2.2,4027.230087,2978.228776,16.40625,259.7785978,38.49431818,23.68070766,66.32310581
D09,Ssrp1.2,3482.296249,4774.480164,18.15068493,419.138756,23.85844749,24.49296063,60.32725193
D10,Smyd4.3,4496.649073,4134.623514,18.62682772,414.4927536,24.12587413,19.70688514,48.7442301
D11,Tcea1.2,3248.168177,3147.520783,19.15998112,272.7155727,36.66823974,22.22493608,49.59081583
E02,Supt16h.2,4575.592875,5105.169707,24.64114833,461.878453,21.6507177,19.81994638,69.30232174
E03,Suv39h1.2,5281.692627,4885.297518,22.43975904,392.1259843,25.50200803,14.96967424,80.37706327
E04,Smyd4.4,3369.904744,3868.928205,22.64257482,308.8055798,32.38283456,20.85862638,55.64943972
E05,Suz12.3,2717.870959,4875.50251,21.80143296,463.0331754,21.59672467,20.65993833,54.02506557
E06,Suv420h1.3,3527.482762,4199.323606,22.02978871,337.2663551,29.65015587,24.22408871,68.10652799
E07,Sp140.2,3476.478269,4551.989278,27.57218381,505.9670782,19.76413176,21.17096604,62.92928543
E08,Smyd5.3,3969.169002,4236.969718,22.1117062,520.7171315,19.20428462,20.01308492,51.65879526
E09,Taf1.3,4393.943494,883.443611,27.30210016,217.9577465,45.88045234,15.45166252,45.48394382
E10,Suv420h2.3,3993.690841,4038.135937,18.46623426,356.5986395,28.04273178,20.8997742,43.5615309
E11,Ssrp1.3,3883.520928,4303.638177,16.19047619,233.3333333,42.85714286,24.3855109,75.70211463
F02,Sp100.3,4045.542085,4856.367146,20.21210231,337.4736842,29.63194011,21.91109381,71.03994456
F03,Tcea1.3,3883.839633,4822.350911,21.49122807,243.5897436,41.05263158,20.81050548,75.73648063
F04,Suv420h1.4,3696.262501,4829.963198,21.87679908,380.0875274,26.30972942,21.83881352,77.8618631
F05,Sp140.3,3746.678092,3682.896745,22.7008149,267.3236515,37.40783857,19.55270273,50.77301077
F06,Sp110.3,3716.352173,5196.564841,20.33557047,375.3148615,26.6442953,20.82171024,69.10565561
F07,Suz12.4,3164.279214,4171.908741,27.63915547,209.2369478,47.79270633,28.87332298,68.10345948
F08,Suv39h1.3,4358.092398,4344.703288,23.26998924,321.3133641,31.12226605,22.12645069,55.73798495
F09,Supt16h.3,5559.06299,4835.90515,25.13812155,271.1610487,36.87845304,17.55450175,77.85427269
F10,Sp110.4,5767.106234,4728.551895,12.5,200,50,47.17460803,44.7248019
F11,Taf1.4,6747.056062,529.5223553,20.36316472,323.9495798,30.8690013,13.28323336,41.55049972
G02,Suv420h2.4,3336.978453,3873.074416,20.05317129,403.8343558,24.76262818,22.5263123,56.19499458
G03,Supt16h.4,3863.902733,4054.550554,21.2334114,372.9257642,26.81498829,22.71388021,62.43006277
G04,Smyd5.4,3542.319755,4095.841362,20.99364961,310.5568445,32.20022413,24.14302122,73.75766206
G05,Tcea1.4,4148.945317,2298.02184,24.45511636,389.4964029,25.67417806,20.3653268,60.47378891
G06,Taf3.4,3778.253813,1330.671336,20.86520707,211.1977716,47.34898444,21.0686667,50.44612685
G07,Sp140.4,2210.981796,4424.999399,23.1511254,299.6146435,33.37620579,27.49489409,55.6437449
G08,Sp100.4,2071.741046,4393.789772,26.31305252,324.2833052,30.83723349,26.23265926,56.64637439
G09,Suv39h2.4,4178.257886,4653.48505,26.87762104,379.0462428,26.38200534,22.14935305,46.0792347
G10,Ssrp1.4,4143.700935,4467.335867,25.54878049,406.9478908,24.57317073,28.77574534,55.06241066
G11,Suv39h1.4,4992.567782,3950.678647,25.01068833,397.7891156,25.13894827,22.67246034,51.04397263
